Date,Shallot,Garlic,Rice,Chili pepper,Cayenne pepper,Broiler meat,Topside beef,Granulated sugar,Cooking oil,Chicken egg
12/10/16,41054,38407,10557,47984,46827,31099,113428,14225,14948,22639
12/11/16,41118,38559,10593,47984,47179,31175,113491,14221,14933,22665
12/12/16,40941,38147,10573,46969,45268,31425,113203,14265,14870,22682
12/13/16,41288,38552,10551,46126,49216,30990,114595,14194,14920,23303
12/14/16,41335,38366,10573,46226,49874,31459,114364,14121,14898,23556
12/15/16,40889,38850,10581,45380,50598,31278,114525,14145,14426,23452
12/16/16,40740,38837,10587,46385,50944,31054,113726,14221,14903,23400
12/17/16,41571,39115,10596,47078,51485,31490,113444,14229,14820,23263
12/18/16,41618,39184,10566,47164,51616,31461,113371,14250,14886,23240
12/19/16,39797,38655,10592,45468,52537,31262,113926,14170,14425,23657
12/20/16,39533,38636,10590,44190,52349,31817,114227,14168,14874,24185
12/21/16,39402,38633,10576,43007,53276,31725,113928,14094,14438,24287
12/22/16,39145,38548,10555,43148,55227,31546,114450,14069,14412,24379
12/23/16,39215,38858,10569,44777,55329,32175,115393,14196,14438,24489
12/24/16,39044,38985,10593,44328,57125,32282,114932,14199,14800,24147
12/25/16,39165,39150,10576,44525,57704,32554,115124,14197,14802,24146
12/26/16,38722,39020,10539,43457,55196,32449,115177,14158,14656,23988
12/27/16,38004,38590,10569,41101,60759,32915,115364,14160,14453,24559
12/28/16,37751,38597,10577,40666,62029,32608,115299,14053,14461,24492
12/29/16,37263,38655,10575,39994,63059,33011,115578,14134,14443,24580
12/30/16,37145,38866,10587,38477,63578,32755,113286,14159,14443,24475
12/31/16,37985,38971,10620,41672,67214,33506,114653,14199,14964,24310
1/1/17,38162,39162,10620,41766,67518,33339,114550,14154,14941,24284
1/2/17,37515,39044,10573,41094,68125,33177,115571,14147,14855,24053
1/3/17,36990,39002,10553,41139,70317,33473,115317,14155,15470,24375
1/4/17,36450,38572,10517,40352,78421,33251,114722,14149,14354,24188
1/5/17,36702,38977,10583,40080,78744,33450,114545,14163,14479,23903
1/6/17,37320,39336,10585,42347,82601,33223,112584,14158,14465,23920
1/7/17,37529,38868,10620,43391,82196,33065,114418,14118,14890,23844
1/8/17,37647,38838,10611,43453,83500,32959,114418,14125,14898,23807
1/9/17,37112,38882,10549,43339,82569,33249,113849,14093,14473,23865
1/10/17,36815,39058,10582,43716,84469,33363,112648,14149,14456,23805
1/11/17,37071,38936,10552,43836,86034,33331,112874,14115,14477,23811
